Test Suite,Description,Object,Action,DataColumn,WaitAfter
sales,enter price and qty,billcalc.jas:id/txt,kInput,calc,
sales,click billing button,billcalc.jas:id/txtInvoice,click,,
sales,verify invalid entry,"//android.widget.Toast[@text=""😕 Invalid entry""]",verifyText,verifyInvalidEntry,
sales,verify invalid key press,"//android.widget.Toast[@text=""😕 Invalid key press""]",verifyText,verifyInvalidKeyPress,
sales,click AC button,,clickElement,clickAC,
sales,"verify first item price, rate, qty, amount","//android.widget.TextView[@resource-id=""billcalc.jas:id/dbg"" and starts-with(@text, '1 |')]",verifyText,verifyItem1,
sales,"verify second item price, rate, qty, amount","//android.widget.TextView[@resource-id=""billcalc.jas:id/dbg"" and starts-with(@text, '2 |')]",verifyText,verifyItem2,
sales,"verify third item price, rate, qty, amount","//android.widget.TextView[@resource-id=""billcalc.jas:id/dbg"" and starts-with(@text, '3 |')]",verifyText,verifyItem3,
sales,"verify fourth item price, rate, qty, amount","//android.widget.TextView[@resource-id=""billcalc.jas:id/dbg"" and starts-with(@text, '4 |')]",verifyText,verifyItem4,
sales,verify sub total,billcalc.jas:id/tvSubTotal,verifyText,verifySubTotal,
sales,verify discount,billcalc.jas:id/tvSpecDiscount,verifyText,verifySpecialDisc,
sales,verify net total,billcalc.jas:id/tvNetTotal,verifyText,verifyNetTotal,
sales,Navigate to billing,"//android.widget.ImageView[@content-desc=""More options""]",click,,
sales,return-to-calculator,"//android.widget.TextView[@resource-id=""billcalc.jas:id/title"" and @text=""BILLING""]",click,,
,,,,,
