Test Suite,Enabled,Description,calc,verifyInvalidEntry,verifyInvalidKeyPress,clickAC,verifyItem1,verifyItem2,verifyItem3,verifyItem4,verifySubTotal,verifySpecialDisc,verifyNetTotal,
sales,1,enter basic price and qty [500x2+100x2] :1200 ,500*2+100*2,NaN,NaN,NaN,"1 | Item 1 | 500.00 | 500.00 x 2.00 | 1,000.00",2 | Item 2 | 100.00 | 100.00 x 2.00 | 200.00,NaN,NaN,NaN,NaN,"1,200.00",
sales,1,"enter simple price and quantity [100x3] :300",100*3,NaN,NaN,NaN,1 | Item 1 | 100.00 | 100.00 x 3.00 | 300.00,NaN,NaN,NaN,NaN,NaN,300.00,
sales,1,"calculation when discount equals price [50-50]",50-50,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"calculation of complex expressions with division, 100x3 - 20 ÷  200x5 - 30",100*3-20÷200*5-30,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"price, qty divide by zero, 200x0 ÷  0",200*0÷0,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"calculator accepts simple price, quantity with cash tendered, 500x2 = -1000, NetTotal = 1000, Cash=1000, Balance = 0",500*2 = -1000,NaN,NaN,NaN,"1 | Item 1 | 500.00 | 500.00 x 2.00 | 1,000.00",NaN,NaN,NaN,NaN,NaN,"1,000.00",
sales,1,"Verify calculator accepts price,quantity with discount, 75 * 3 - 25, Subtotal  = 225, Spec Disc = 25, NetTotal  = 200",75*3 - 25,NaN,NaN,NaN,1 | Item 1 | 75.00 | 75.00 x 3.00 | 225.00,NaN,NaN,NaN,225.00,25.00,200.00,
sales,1,"enter quantity with zero price, 0x5, NetTotal  = 5",0*5,NaN,😕 Invalid key press,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter price with a negative quantity, 100 x -2, NetTotal  = 98",100*-2,NaN,NaN,NaN,1 | Item 1 | 100.00 | 98.00 x 1.00 | 98.00,NaN,NaN,NaN,NaN,NaN,98.00,
sales,1,"enter negative price and quantity, -50x2",-50*2,NaN,😕 Invalid key press,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"Verify calculator accepts division operation, 50÷2, NetTotal  = 25",50÷2,NaN,NaN,NaN,1 | Item 1 | 25.00 | 25.00 x 1.00 | 25.00,NaN,NaN,NaN,NaN,NaN,25.00,
sales,1,"adding two item prices, 250 + 255, NetTotal  = 505",250+255,NaN,NaN,NaN,1 | Item 1 | 250.00 | 250.00 x 1.00 | 250.00,2 | Item 2 | 255.00 | 255.00 x 1.00 | 255.00,NaN,NaN,NaN,NaN,505.00,
sales,1,"handles large number calculations, 1000000 * 1000, NetTotal  = 1000000000",1000000*1000,NaN,NaN,NaN,"1 | Item 1 | 1,000,000.00 | 1,000,000.00 x 1,000.00 | 1,000,000,000.00",NaN,NaN,NaN,NaN,NaN,"1,000,000,000.00",
sales,1,"enter decimal price with quantity, 0.50 * 10, NetTotal = 5",0.50*10,NaN,NaN,NaN,1 | Item 1 | 0.50 | 0.50 x 10.00 | 5.00,NaN,NaN,NaN,NaN,NaN,5.00,
sales,1,"enter both decimal price and discount, 25.99 * 2 - 5.50, SubTotal  = 51.98 , Spec Disc = 5.50, NetTotal  = 46.48",25.99*2-5.50,NaN,NaN,NaN,1 | Item 1 | 25.99 | 25.99 x 2.00 | 51.98,NaN,NaN,NaN,51.98,5.50,46.48,
sales,1,"enter price with zero quantity, 100*0",100*0,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter discount greater than price, 50*1 - 100",50*1-100,NaN,NaN,NaN,1 | Item 1 | 50.00 | 50.00 x 1.00 | 50.00,NaN,NaN,NaN,50.00,100.00,-50.00,
sales,1,"enter two items with zero result, 12*5-12*5",12*5-12*5,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter price with missing quantity, 50*, NetTotal = 50",50*,NaN,NaN,NaN,1 | Item 1 | 50.00 | 50.00 x 1.00 | 50.00,NaN,NaN,NaN,NaN,NaN,50.00,
sales,1,"enter price,qty with missing discount, 100*2- , NetTotal = 100",100*2-,NaN,NaN,NaN,1 | Item 1 | 100.00 | 100.00 x 2.00 | 200.00,NaN,NaN,NaN,NaN,NaN,200.00,
sales,1,"enter price with decimal quantity, 50*2.5, NetTotal = 125",50*2.5,NaN,NaN,NaN,1 | Item 1 | 50.00 | 50.00 x 2.50 | 125.00,NaN,NaN,NaN,NaN,NaN,125.00,
sales,1,"enter price and quantity with 1, 1*1, NetTotal = 1",1*1,NaN,NaN,NaN,1 | Item 1 | 1.00 | 1.00 x 1.00 | 1.00,NaN,NaN,NaN,NaN,NaN,1.00,
sales,1,"enter multiple items with decimal quantities, 150 * 0.25 + 200 * 0.5, NetTotal = 137.50",150*0.25+200*0.5,NaN,NaN,NaN,1 | Item 1 | 150.00 | 150.00 x 0.25 | 37.50,2 | Item 2 | 200.00 | 200.00 x 0.50 | 100.00,NaN,NaN,NaN,NaN,137.50,
sales,1,"enter price with quantity of more than 3 decimal places, 50*0.1234, NetTotal = 6.17",50*0.1234,NaN,NaN,NaN,1 | Item 1 | 50.00 | 50.00 x 0.12 | 6.17,NaN,NaN,NaN,NaN,NaN,6.17,
sales,1,"enter items with mixed decimals and whole quantities, 100*0.5+200*2, NetTotal = 450",100*0.5+200*2,NaN,NaN,NaN,1 | Item 1 | 100.00 | 100.00 x 0.50 | 50.00,2 | Item 2 | 200.00 | 200.00 x 2.00 | 400.00,NaN,NaN,NaN,NaN,450.00,
sales,1,"enter quantity as 1.0, 250*1.0, NetTotal = 250",250*1.0,NaN,NaN,NaN,1 | Item 1 | 250.00 | 250.00 x 1.00 | 250.00,NaN,NaN,NaN,NaN,NaN,250.00,
sales,1,"enter price with multiple decimal points, 0..5 * 5",0..5 * 5,NaN,😕 Invalid key press,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter ptice with a very small quantity, 2*0.00001 , NetTotal = 0",2*0.00001 ,NaN,NaN,NaN,1 | Item 1 | 2.00 | 2.00 x 0.00 | 0.00,NaN,NaN,NaN,NaN,NaN,0.00,
sales,1,"enter quantity with leading zeros, 2*00012.50 , NetTotal = 25",2*00012.50,NaN,NaN,NaN,1 | Item 1 | 2.00 | 2.00 x 12.50 | 25.00,NaN,NaN,NaN,NaN,NaN,25.00,
sales,1,"enter quantity with invalid decimal format, 2*0.5.5*4",2*0.5.5*4,NaN,😕 Invalid key press,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter price with zero padded decimals with no integer part, .012*2, NetTotal = 0.02",.012*2,NaN,NaN,NaN,1 | Item 1 | 0.01 | 0.01 x 2.00 | 0.02,NaN,NaN,NaN,NaN,NaN,0.02,
sales,1,"enter and clear all inputs and calculations using (AC) button, 12 * 50 - 10",12*50-10,NaN,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter multiple discounts in a single calculation, 100*5 - 10 - 50",100*5-10-50,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"devide two items with decimal prices, 5.5÷2.2, NetTotal = 2.50",5.5÷2.2,NaN,NaN,NaN,1 | Item 1 | 2.50 | 2.50 x 1.00 | 2.50,NaN,NaN,NaN,NaN,NaN,2.50,
sales,1,"enter price,qty with 100% discount, 50*10-100%, SubTotal  = 500, Spec Disc = 500, NetTotal  = 0",50*10-100%,NaN,NaN,NaN,1 | Item 1 | 50.00 | 50.00 x 10.00 | 500.00,NaN,NaN,NaN,500.00,100.00,400.00,
sales,1,"enter multiple quantity values, 5*5*5*5 ",5*5*5*5 ,😕 Invalid entry,NaN,billcalc.jas:id/txtAc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
sales,1,"enter price and qty with tendering cash, 100*0.5+200*2=-100, NetTotal = 450, Cash = 100, Balance = 350",100*0.5+200*2=-100,NaN,NaN,NaN,1 | Item 1 | 100.00 | 100.00 x 0.50 | 50.00,2 | Item 2 | 200.00 | 200.00 x 2.00 | 400.00,NaN,NaN,NaN,NaN,450.00,
sales,1,"enter more than 3 items with price and qty, 2*100+45*1.5+30*5+200*10, NetTotal = 2417.50",2*100+45*1.5+30*5+200*10,NaN,NaN,NaN,1 | Item 1 | 2.00 | 2.00 x 100.00 | 200.00,2 | Item 2 | 45.00 | 45.00 x 1.50 | 67.50,3 | Item 3 | 30.00 | 30.00 x 5.00 | 150.00,"4 | Item 4 | 200.00 | 200.00 x 10.00 | 2,000.00",NaN,NaN,"2,417.50",
sales,1,"entered price and qty are cleared using C button and add new one, First Input: 2*5,After Clear: 5 * 400, NetTotal = 2000
",5*400,NaN,NaN,NaN,"1 | Item 1 | 5.00 | 5.00 x 400.00 | 2,000.00",NaN,NaN,NaN,NaN,NaN,"2,000.00",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
